,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1876,"26 17/02/2019 F F2619012 BRUN OFB BOUVANTE OUI 13/09/2020 Canis lupus NA XY NA 0,21",26,17/02/2019,F,F2619012,BRUN,OFB,BOUVANTE,OUI,13/09/2020,Canis lupus,NA,XY,NA,"0,21"
1877,"26 17/02/2019 U U2619006 BRUN OFB BOUVANTE OUI 13/09/2020 Canis lupus Italo-alpine NI NA 0,00",26,17/02/2019,U,U2619006,BRUN,OFB,BOUVANTE,OUI,13/09/2020,Canis lupus,Italo-alpine,NI,NA,0
1878,"26 17/02/2019 F F2619013 MANCIP ONF EYGALAYES OUI 11/04/2019 Canis lupus NA XX S60-13 0,56",26,17/02/2019,F,F2619013,MANCIP,ONF,EYGALAYES,OUI,11/04/2019,Canis lupus,NA,XX,S60-13,"0,56"
1879,"26 17/02/2019 F F2619014 MANCIP ONF EYGALAYES OUI 11/04/2019 Canis lupus NA XX S60-14 0,57",26,17/02/2019,F,F2619014,MANCIP,ONF,EYGALAYES,OUI,11/04/2019,Canis lupus,NA,XX,S60-14,"0,57"
1880,26 17/02/2019 U U2619007 BRUN OFB BOUVANTE OUI 13/09/2020 Impossible NA,26,17/02/2019,U,U2619007,BRUN,OFB,BOUVANTE,OUI,13/09/2020,Impossible NA,,,,
1881,"26 21/02/2019 F F2619015 MAILE CG AUCELON OUI 11/04/2019 Canis lupus Italo-alpine XY S60-15 0,99",26,21/02/2019,F,F2619015,MAILE,CG,AUCELON,OUI,11/04/2019,Canis lupus,Italo-alpine,XY,S60-15,"0,99"
1882,"26 21/02/2019 F F2619016 MAILE CG AUCELON OUI 11/04/2019 Canis lupus Italo-alpine XY S60-16 0,67",26,21/02/2019,F,F2619016,MAILE,CG,AUCELON,OUI,11/04/2019,Canis lupus,Italo-alpine,XY,S60-16,"0,67"
1883,26 24/02/2019 F F2619084 TOURNIER PNRVercors LA CHAPELLE EN VERCORS OUI 08/02/2021 Impossible NA,26,24/02/2019,F,F2619084,TOURNIER,PNRVercors,LA CHAPELLE EN VERCORS,OUI,08/02/2021,Impossible NA,,,,
1884,"26 26/02/2019 F F2619035 TOURNIER PNRVercors LAVAL D AIX OUI 17/02/2020 Canis lupus Italo-alpine XX NA 0,34",26,26/02/2019,F,F2619035,TOURNIER,PNRVercors,LAVAL D AIX,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,NA,"0,34"
1885,"26 26/02/2019 F F2619036 TOURNIER PNRVercors ROMEYER OUI 17/02/2020 Canis lupus Italo-alpine XX NA 0,35",26,26/02/2019,F,F2619036,TOURNIER,PNRVercors,ROMEYER,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,NA,"0,35"
1886,"26 05/03/2019 F F2619075 MORIN PNRVercors LUS LA CROIX HAUTE OUI 17/02/2020 Canis lupus Italo-alpine XX S53-09 0,95",26,05/03/2019,F,F2619075,MORIN,PNRVercors,LUS LA CROIX HAUTE,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,S53-09,"0,95"
1887,"26 10/03/2019 F F2619057 MANCIP ONF MONTBRUN LES BAINS OUI 13/09/2020 Canis lupus Italo-alpine XY NA 0,26",26,10/03/2019,F,F2619057,MANCIP,ONF,MONTBRUN LES BAINS,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,NA,"0,26"
1888,"26 10/03/2019 F F2619056 MANCIP ONF MONTBRUN LES BAINS OUI 13/09/2020 Canis lupus Italo-alpine NI NA 0,00",26,10/03/2019,F,F2619056,MANCIP,ONF,MONTBRUN LES BAINS,OUI,13/09/2020,Canis lupus,Italo-alpine,NI,NA,0
1889,"26 10/03/2019 F F2619055 MANCIP ONF FERRASSIERES OUI 13/09/2020 Canis lupus Italo-alpine XY S68-35 0,95",26,10/03/2019,F,F2619055,MANCIP,ONF,FERRASSIERES,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S68-35,"0,95"
1890,"26 30/03/2019 F F2619034 BOUTIN Particulier ST MARTIN EN VERCORS OUI 17/06/2019 Canis lupus Italo-alpine XX S62-30 0,82",26,30/03/2019,F,F2619034,BOUTIN,Particulier,ST MARTIN EN VERCORS,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-30,"0,82"
1891,"26 01/04/2019 F F2619022 RODA PNPC AUCELON OUI 17/06/2019 Canis lupus Italo-alpine XY S55-05 0,52",26,01/04/2019,F,F2619022,RODA,PNPC,AUCELON,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S55-05,"0,52"
1892,"26 01/04/2019 F F2619021 RODA PNPC AUCELON OUI 17/06/2019 Canis lupus Italo-alpine XY S60-16 0,48",26,01/04/2019,F,F2619021,RODA,PNPC,AUCELON,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S60-16,"0,48"
1893,"26 01/04/2019 F F2619023 RODA PNPC AUCELON OUI 17/06/2019 Canis lupus Italo-alpine XX S62-27 0,61",26,01/04/2019,F,F2619023,RODA,PNPC,AUCELON,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-27,"0,61"
1894,26 01/04/2019 F F2619024 RODA PNPC AUCELON OUI 17/06/2019 Impossible NA,26,01/04/2019,F,F2619024,RODA,PNPC,AUCELON,OUI,17/06/2019,Impossible NA,,,,
1895,"26 01/04/2019 F F2619020 RODA PNPC AUCELON OUI 17/06/2019 Canis lupus Italo-alpine XY S55-05 0,49",26,01/04/2019,F,F2619020,RODA,PNPC,AUCELON,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S55-05,"0,49"
1896,"26 01/04/2019 F F2619019 RODA PNPC AUCELON OUI 17/06/2019 Canis lupus Italo-alpine XX S54-49 0,61",26,01/04/2019,F,F2619019,RODA,PNPC,AUCELON,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S54-49,"0,61"
1897,26 01/04/2019 F F2619018 RODA PNPC BRETTE OUI 17/06/2019 Impossible NA,26,01/04/2019,F,F2619018,RODA,PNPC,BRETTE,OUI,17/06/2019,Impossible NA,,,,
1898,"26 01/04/2019 F F2619017 RODA PNPC BRETTE OUI 17/06/2019 Canis lupus Italo-alpine XY S62-26 0,92",26,01/04/2019,F,F2619017,RODA,PNPC,BRETTE,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S62-26,"0,92"
1899,26 02/04/2019 F F2619027 RODA PNPC CHALANCON OUI 17/06/2019 Impossible NA,26,02/04/2019,F,F2619027,RODA,PNPC,CHALANCON,OUI,17/06/2019,Impossible NA,,,,
1900,"26 02/04/2019 F F2619031 RODA PNPC CHALANCON OUI 17/06/2019 Canis lupus Italo-alpine XX S62-29 0,85",26,02/04/2019,F,F2619031,RODA,PNPC,CHALANCON,OUI,17/06/2019,Canis lupus,Italo-alpine,XX,S62-29,"0,85"
1901,26 02/04/2019 F F2619030 RODA PNPC CHALANCON OUI 17/06/2019 Impossible NA,26,02/04/2019,F,F2619030,RODA,PNPC,CHALANCON,OUI,17/06/2019,Impossible NA,,,,
1902,"26 02/04/2019 F F2619029 RODA PNPC CHALANCON OUI 17/06/2019 Canis lupus Italo-alpine XY S62-04 0,80",26,02/04/2019,F,F2619029,RODA,PNPC,CHALANCON,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S62-04,"0,8"
1903,"26 02/04/2019 F F2619028 RODA PNPC CHALANCON OUI 17/06/2019 Canis lupus Italo-alpine XY S62-04 0,73",26,02/04/2019,F,F2619028,RODA,PNPC,CHALANCON,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S62-04,"0,73"
1904,"26 02/04/2019 F F2619026 RODA PNPC CHALANCON OUI 17/06/2019 Canis lupus Italo-alpine XY S62-28 0,85",26,02/04/2019,F,F2619026,RODA,PNPC,CHALANCON,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S62-28,"0,85"
1905,"26 02/04/2019 F F2619025 RODA PNPC CHALANCON OUI 17/06/2019 Canis lupus Italo-alpine XY S60-15 0,94",26,02/04/2019,F,F2619025,RODA,PNPC,CHALANCON,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S60-15,"0,94"
1906,"26 03/04/2019 D D2619001 BLACHIER OFB VALDROME OUI 18/09/2019 Canis lupus Italo-alpine XX S62-29 1,00",26,03/04/2019,D,D2619001,BLACHIER,OFB,VALDROME,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S62-29,1
1907,"26 03/04/2019 F F2619032 RODA PNPC VOLVENT OUI 17/06/2019 Canis lupus Italo-alpine NI NA 0,13",26,03/04/2019,F,F2619032,RODA,PNPC,VOLVENT,OUI,17/06/2019,Canis lupus,Italo-alpine,NI,NA,"0,13"
1908,"26 03/04/2019 F F2619033 RODA PNPC VOLVENT OUI 17/02/2020 Impossible NA XY NA 0,24",26,03/04/2019,F,F2619033,RODA,PNPC,VOLVENT,OUI,17/02/2020,Impossible NA,XY,NA,0,"0,24"
1909,"26 05/04/2019 U U2619008 PILLOUD ONF VALDROME OUI 13/09/2020 Canis lupus Italo-alpine XX S68-29 0,93",26,05/04/2019,U,U2619008,PILLOUD,ONF,VALDROME,OUI,13/09/2020,Canis lupus,Italo-alpine,XX,S68-29,"0,93"
1910,26 19/04/2019 F F2619083 ANDRIEUX ARGIRAKIS PNRVercors ST AGNAN EN VERCORS OUI 08/02/2021 Vulpes vulpes,26,19/04/2019,F,F2619083,ANDRIEUX,ARGIRAKIS,PNRVercors ST AGNAN EN VERCORS,OUI,08/02/2021,Vulpes vulpes,,,,
1911,26 25/04/2019 F F2619039 CHAUDERON FDC ESTABLET OUI 13/09/2020 Impossible NA,26,25/04/2019,F,F2619039,CHAUDERON,FDC,ESTABLET,OUI,13/09/2020,Impossible NA,,,,
1912,26 26/04/2019 D D2619002 BLACHIER OFB ST JEAN EN ROYANS NON a VSARLE,26,26/04/2019,D,D2619002,BLACHIER,OFB,ST JEAN EN ROYANS,NON,,a VSARLE,,,,
1913,"26 27/04/2019 S S2619001 PICART OFB ST JEAN EN ROYANS OUI 17/06/2019 Canis lupus Italo-alpine XY S62-05 0,98",26,27/04/2019,S,S2619001,PICART,OFB,ST JEAN EN ROYANS,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S62-05,"0,98"
1914,"26 27/04/2019 F F2619038 PICART OFB ST JEAN EN ROYANS OUI 17/06/2019 Canis lupus Italo-alpine XY S62-05 0,33",26,27/04/2019,F,F2619038,PICART,OFB,ST JEAN EN ROYANS,OUI,17/06/2019,Canis lupus,Italo-alpine,XY,S62-05,"0,33"
1915,26 04/06/2019 F F2619052 BOUTIN Particulier ST AGNAN EN VERCORS OUI 17/02/2020 NA NA,26,04/06/2019,F,F2619052,BOUTIN,Particulier,ST AGNAN EN VERCORS,OUI,17/02/2020,NA NA,,,,
1916,"26 12/06/2019 F F2619058 FALLAIS FDC LEMPS OUI 13/09/2020 Canis lupus NA XX S65-02 0,34",26,12/06/2019,F,F2619058,FALLAIS,FDC,LEMPS,OUI,13/09/2020,Canis lupus,NA,XX,S65-02,"0,34"
1917,"26 14/06/2019 F F2619054 JOANNIN ONF LEONCEL OUI 18/09/2019 Canis lupus Italo-alpine XY NA 0,44",26,14/06/2019,F,F2619054,JOANNIN,ONF,LEONCEL,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,NA,"0,44"
1918,"26 14/06/2019 F F2619053 JOANNIN ONF LEONCEL OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,17",26,14/06/2019,F,F2619053,JOANNIN,ONF,LEONCEL,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,"0,17"
1919,"26 24/06/2019 F F2619040 RODA PNPC VILLEBOIS LES PINS OUI 18/09/2019 Canis lupus Italo-alpine XX NA 0,13",26,24/06/2019,F,F2619040,RODA,PNPC,VILLEBOIS LES PINS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,NA,"0,13"
1920,"26 24/06/2019 F F2619041 RODA PNPC VILLEBOIS LES PINS OUI 18/09/2019 Canis lupus Italo-alpine XX NA 0,18",26,24/06/2019,F,F2619041,RODA,PNPC,VILLEBOIS LES PINS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,NA,"0,18"
1921,"26 24/06/2019 F F2619042 RODA PNPC VILLEBOIS LES PINS OUI 18/09/2019 Canis lupus Italo-alpine XY S63-09 0,59",26,24/06/2019,F,F2619042,RODA,PNPC,VILLEBOIS LES PINS,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S63-09,"0,59"
1922,"26 24/06/2019 F F2619043 RODA PNPC VILLEBOIS LES PINS OUI 18/09/2019 Canis lupus Italo-alpine XY S64-23 0,82",26,24/06/2019,F,F2619043,RODA,PNPC,VILLEBOIS LES PINS,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S64-23,"0,82"
1923,"26 24/06/2019 F F2619044 RODA PNPC VILLEBOIS LES PINS OUI 18/09/2019 Canis lupus NA XX S64-06 1,00",26,24/06/2019,F,F2619044,RODA,PNPC,VILLEBOIS LES PINS,OUI,18/09/2019,Canis lupus,NA,XX,S64-06,1
1924,"26 24/06/2019 F F2619045 RODA PNPC VILLEBOIS LES PINS OUI 18/09/2019 Canis lupus Italo-alpine NI NA 0,00",26,24/06/2019,F,F2619045,RODA,PNPC,VILLEBOIS LES PINS,OUI,18/09/2019,Canis lupus,Italo-alpine,NI,NA,0
1925,"26 24/06/2019 F F2619046 RODA PNPC VILLEBOIS LES PINS OUI 18/09/2019 Canis lupus Italo-alpine XX NA 0,12",26,24/06/2019,F,F2619046,RODA,PNPC,VILLEBOIS LES PINS,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,NA,"0,12"
1926,"26 25/06/2019 F F2619049 RODA PNPC CHAUVAC OUI 18/09/2019 Canis lupus Italo-alpine XX S64-24 0,98",26,25/06/2019,F,F2619049,RODA,PNPC,CHAUVAC,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S64-24,"0,98"
1927,"26 25/06/2019 F F2619047 RODA PNPC CHAUVAC OUI 18/09/2019 Canis lupus Italo-alpine XX S64-06 0,92",26,25/06/2019,F,F2619047,RODA,PNPC,CHAUVAC,OUI,18/09/2019,Canis lupus,Italo-alpine,XX,S64-06,"0,92"
1928,"26 25/06/2019 F F2619048 RODA PNPC CHAUVAC OUI 18/09/2019 Canis lupus Italo-alpine XY S63-09 0,84",26,25/06/2019,F,F2619048,RODA,PNPC,CHAUVAC,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S63-09,"0,84"
1929,"26 26/06/2019 F F2619051 RODA PNPC MONTFERRAND LA FARE OUI 18/09/2019 Canis lupus Italo-alpine XY S63-30 0,91",26,26/06/2019,F,F2619051,RODA,PNPC,MONTFERRAND LA FARE,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S63-30,"0,91"
1930,"26 26/06/2019 F F2619050 RODA PNPC LEMPS OUI 18/09/2019 Canis lupus Italo-alpine XY NA 0,22",26,26/06/2019,F,F2619050,RODA,PNPC,LEMPS,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,NA,"0,22"
1931,"26 02/07/2019 F F2619081 PILLOUD ONF BOULC OUI 13/09/2020 Canis lupus Italo-alpine NI NA 0,22",26,02/07/2019,F,F2619081,PILLOUD,ONF,BOULC,OUI,13/09/2020,Canis lupus,Italo-alpine,NI,NA,"0,22"
1932,"26 14/07/2019 F F2619069 CHASTAN Agriculteur - Eleveur VESC OUI 17/02/2020 Canis lupus Italo-alpine NI NA 0,00",26,14/07/2019,F,F2619069,CHASTAN,Agriculteur,- Eleveur VESC,OUI,17/02/2020,Canis lupus,Italo-alpine,NI,NA,0
1933,"26 20/07/2019 F F2619059 MANCIP ONF MONTAUBAN SUR L OUVEZE OUI 13/09/2020 Canis lupus Italo-alpine XY S48-17 0,57",26,20/07/2019,F,F2619059,MANCIP,ONF,MONTAUBAN SUR L OUVEZE,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S48-17,"0,57"
1934,"26 20/07/2019 F F2619077 MANCIP ONF IZON LA BRUISSE OUI 13/09/2020 Canis lupus Italo-alpine NI NA 0,00",26,20/07/2019,F,F2619077,MANCIP,ONF,IZON LA BRUISSE,OUI,13/09/2020,Canis lupus,Italo-alpine,NI,NA,0
1935,"26 20/07/2019 F F2619060 MANCIP ONF MONTAUBAN SUR L OUVEZE OUI 13/09/2020 Canis lupus Italo-alpine XY S48-17 0,79",26,20/07/2019,F,F2619060,MANCIP,ONF,MONTAUBAN SUR L OUVEZE,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S48-17,"0,79"
1936,26 20/07/2019 F F2619076 MANCIP ONF MONTAUBAN SUR L OUVEZE OUI 13/09/2020 Vulpes vulpes,26,20/07/2019,F,F2619076,MANCIP,ONF,MONTAUBAN SUR L OUVEZE,OUI,13/09/2020,Vulpes vulpes,,,,
1937,"26 22/07/2019 D D2619003 BLACHIER OFB MONTBRUN LES BAINS OUI 18/09/2019 Canis lupus Italo-alpine XY NA 0,35",26,22/07/2019,D,D2619003,BLACHIER,OFB,MONTBRUN LES BAINS,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,NA,"0,35"
1938,26 29/07/2019 F F2619082 TOURNIER PNRVercors VASSIEUX EN VERCORS OUI 08/02/2021 Canis lupus Italo-alpine,26,29/07/2019,F,F2619082,TOURNIER,PNRVercors,VASSIEUX EN VERCORS,OUI,08/02/2021,Canis lupus,Italo-alpine,,,
1939,26 03/08/2019 F F2619061 MANCIP ONF MONTAUBAN SUR L OUVEZE OUI 13/09/2020 Impossible NA,26,03/08/2019,F,F2619061,MANCIP,ONF,MONTAUBAN SUR L OUVEZE,OUI,13/09/2020,Impossible NA,,,,
1940,26 05/08/2019 F F2619062 BLACHIER OFB VESC NON a VSARIE,26,05/08/2019,F,F2619062,BLACHIER,OFB,VESC,NON,,a VSARIE,,,,
1941,"26 08/08/2019 D D2619004 BLACHIER OFB MONTMEYRAN OUI 18/09/2019 Canis lupus Italo-alpine XY S64-41 1,00",26,08/08/2019,D,D2619004,BLACHIER,OFB,MONTMEYRAN,OUI,18/09/2019,Canis lupus,Italo-alpine,XY,S64-41,1
1942,"26 10/08/2019 F F2619063 JOANNIN ONF ST LAURENT EN ROYANS OUI 13/09/2020 Canis lupus NA XX S70-072 0,70",26,10/08/2019,F,F2619063,JOANNIN,ONF,ST LAURENT EN ROYANS,OUI,13/09/2020,Canis lupus,NA,XX,S70-072,"0,7"
1943,"26 12/08/2019 D D2619005 BLACHIER OFB GLANDAGE OUI Canis lupus Italo-alpine XY S64-42 1,00",26,12/08/2019,D,D2619005,BLACHIER,OFB,GLANDAGE,OUI,,Canis lupus,Italo-alpine,XY,S64-42,1
1944,"26 13/08/2019 F F2619064 RYSIEWICZ ONF ST AGNAN EN VERCORS OUI 17/02/2020 Canis lupus Italo-alpine NI NA 0,00",26,13/08/2019,F,F2619064,RYSIEWICZ,ONF,ST AGNAN EN VERCORS,OUI,17/02/2020,Canis lupus,Italo-alpine,NI,NA,0
1945,26 14/08/2019 P P2619003 CHASTAN Agriculteur - Eleveur VESC OUI,26,14/08/2019,P,P2619003,CHASTAN,Agriculteur,- Eleveur VESC,OUI,,,,,,
1946,26 14/08/2019 F F2619071 CHASTAN Agriculteur - Eleveur VESC OUI 17/02/2020 Vulpes vulpes,26,14/08/2019,F,F2619071,CHASTAN,Agriculteur,- Eleveur VESC,OUI,17/02/2020,Vulpes vulpes,,,,
1947,26 14/08/2019 F F2619070 CHASTAN Agriculteur - Eleveur VESC OUI 17/02/2020 Vulpes vulpes,26,14/08/2019,F,F2619070,CHASTAN,Agriculteur,- Eleveur VESC,OUI,17/02/2020,Vulpes vulpes,,,,
1948,"26 17/08/2019 F F2619065 GOUJON OFB AUCELON OUI 14/11/2019 Impossible NA NI NA 0,00",26,17/08/2019,F,F2619065,GOUJON,OFB,AUCELON,OUI,14/11/2019,Impossible NA,NI,NA,0,0
1949,"26 17/08/2019 D D2619006 BLACHIER OFB COMBOVIN OUI 14/11/2019 Canis lupus Italo-alpine XY S67-40 1,00",26,17/08/2019,D,D2619006,BLACHIER,OFB,COMBOVIN,OUI,14/11/2019,Canis lupus,Italo-alpine,XY,S67-40,1
1950,"26 19/08/2019 F F2619078 MANCIP ONF MONTAUBAN SUR L OUVEZE OUI 13/09/2020 Canis lupus Italo-alpine XX S64-06 0,94",26,19/08/2019,F,F2619078,MANCIP,ONF,MONTAUBAN SUR L OUVEZE,OUI,13/09/2020,Canis lupus,Italo-alpine,XX,S64-06,"0,94"
1951,"26 20/08/2019 F F2619067 BODIN OFB BALLONS OUI 14/11/2019 Canis familiaris NA XX NA 0,19",26,20/08/2019,F,F2619067,BODIN,OFB,BALLONS,OUI,14/11/2019,Canis familiaris,NA,XX,NA,"0,19"
1952,26 21/08/2019 F F2619079 MANCIP ONF IZON LA BRUISSE OUI 13/09/2020 Impossible NA,26,21/08/2019,F,F2619079,MANCIP,ONF,IZON LA BRUISSE,OUI,13/09/2020,Impossible NA,,,,
1953,"26 23/08/2019 F F2619068 BLACHIER OFB AUCELON OUI 14/11/2019 Impossible NA NI NA 0,00",26,23/08/2019,F,F2619068,BLACHIER,OFB,AUCELON,OUI,14/11/2019,Impossible NA,NI,NA,0,0
1954,26 24/08/2019 F F2619066 ROZAND ONF ST LAURENT EN ROYANS OUI 13/09/2020 Impossible NA,26,24/08/2019,F,F2619066,ROZAND,ONF,ST LAURENT EN ROYANS,OUI,13/09/2020,Impossible NA,,,,
1955,26 06/09/2019 F F2619087 JANET Particulier LA CHAPELLE EN VERCORS OUI 08/02/2021 Canis lupus Italo-alpine,26,06/09/2019,F,F2619087,JANET,Particulier,LA CHAPELLE EN VERCORS,OUI,08/02/2021,Canis lupus,Italo-alpine,,,
1956,26 06/09/2019 F F2619086 JANET Particulier LA CHAPELLE EN VERCORS OUI 08/02/2021 Impossible NA,26,06/09/2019,F,F2619086,JANET,Particulier,LA CHAPELLE EN VERCORS,OUI,08/02/2021,Impossible NA,,,,
1957,"26 02/10/2019 F F2619080 MANCIP ONF MONTAUBAN SUR L OUVEZE OUI 13/09/2020 Canis lupus Italo-alpine XX S64-06 0,74",26,02/10/2019,F,F2619080,MANCIP,ONF,MONTAUBAN SUR L OUVEZE,OUI,13/09/2020,Canis lupus,Italo-alpine,XX,S64-06,"0,74"
1958,"26 07/10/2019 F F2619072 CHASTAN Agriculteur - Eleveur VESC OUI 17/02/2020 Canis lupus Italo-alpine XX NA 0,22",26,07/10/2019,F,F2619072,CHASTAN,Agriculteur,- Eleveur VESC,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,NA,"0,22"
1959,"26 19/11/2019 F F2619073 PEREZ OFB LEONCEL OUI 13/09/2020 Canis lupus NA XY S70-073 0,73",26,19/11/2019,F,F2619073,PEREZ,OFB,LEONCEL,OUI,13/09/2020,Canis lupus,NA,XY,S70-073,"0,73"
1960,"26 17/12/2019 F F2619074 PEREZ OFB BEZAUDUN SUR BINE OUI 13/09/2020 Canis lupus NA XX S70-074 0,63",26,17/12/2019,F,F2619074,PEREZ,OFB,BEZAUDUN SUR BINE,OUI,13/09/2020,Canis lupus,NA,XX,S70-074,"0,63"
1961,"26 07/01/2020 F F2620001 AUBERGIER OFB MONTFROC OUI 26/10/2020 Canis lupus Italo-alpine XY S71-002 0,69",26,07/01/2020,F,F2620001,AUBERGIER,OFB,MONTFROC,OUI,26/10/2020,Canis lupus,Italo-alpine,XY,S71-002,"0,69"
1962,"26 07/01/2020 F F2620002 CALI OFB MONTFROC OUI 26/10/2020 Canis lupus Italo-alpine NI NA 0,37",26,07/01/2020,F,F2620002,CALI,OFB,MONTFROC,OUI,26/10/2020,Canis lupus,Italo-alpine,NI,NA,"0,37"
1963,"26 09/01/2020 F F2620009 AUBERGIER OFB SEDERON OUI 26/10/2020 Canis lupus Italo-alpine XX S71-048 0,91",26,09/01/2020,F,F2620009,AUBERGIER,OFB,SEDERON,OUI,26/10/2020,Canis lupus,Italo-alpine,XX,S71-048,"0,91"
1964,"26 09/01/2020 F F2620010 AUBERGIER OFB SEDERON OUI 26/10/2020 Canis lupus Italo-alpine XY S71-002 0,73",26,09/01/2020,F,F2620010,AUBERGIER,OFB,SEDERON,OUI,26/10/2020,Canis lupus,Italo-alpine,XY,S71-002,"0,73"
1965,"26 18/01/2020 S S2620002 HOH Particulier BOUVANTE OUI 10/06/2020 Canis lupus Italo-alpine XX S57-69 1,00",26,18/01/2020,S,S2620002,HOH,Particulier,BOUVANTE,OUI,10/06/2020,Canis lupus,Italo-alpine,XX,S57-69,1
1966,"26 18/01/2020 S S2620001 HOH Particulier BOUVANTE OUI 10/06/2020 Canis lupus Italo-alpine XX S57-69 0,57",26,18/01/2020,S,S2620001,HOH,Particulier,BOUVANTE,OUI,10/06/2020,Canis lupus,Italo-alpine,XX,S57-69,"0,57"
1967,"26 18/01/2020 F F2620025 HOH Particulier BOUVANTE OUI 10/06/2020 Canis lupus Italo-alpine XY NA 0,19",26,18/01/2020,F,F2620025,HOH,Particulier,BOUVANTE,OUI,10/06/2020,Canis lupus,Italo-alpine,XY,NA,"0,19"
1968,"26 18/01/2020 F F2620013 DESCHAMPS Agriculteur - Eleveur ST FERREOL TRENTE PAS OUI 13/09/2020 Impossible NA XX CH-S70-07 0,78",26,18/01/2020,F,F2620013,DESCHAMPS,Agriculteur,- Eleveur ST FERREOL TRENTE PAS,OUI,13/09/2020,Impossible NA,XX,CH,-S70-07,"0,78"
1969,"26 18/01/2020 U U2620003 JOANNIN ONF LEONCEL OUI 13/09/2020 Canis lupus Italo-alpine NI NA 0,00",26,18/01/2020,U,U2620003,JOANNIN,ONF,LEONCEL,OUI,13/09/2020,Canis lupus,Italo-alpine,NI,NA,0
1970,"26 19/01/2020 U U2620009 PILLOUD ONF BOULC OUI 13/09/2020 Canis lupus Italo-alpine NI NA 0,15",26,19/01/2020,U,U2620009,PILLOUD,ONF,BOULC,OUI,13/09/2020,Canis lupus,Italo-alpine,NI,NA,"0,15"
1971,"26 20/01/2020 U U2620004 BRUN OFB BOUVANTE OUI 13/09/2020 Canis lupus Italo-alpine XY S69-20 0,83",26,20/01/2020,U,U2620004,BRUN,OFB,BOUVANTE,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S69-20,"0,83"
1972,"26 20/01/2020 F F2620035 HOH Particulier BOUVANTE OUI 10/06/2020 Canis lupus Italo-alpine XX S57-69 1,00",26,20/01/2020,F,F2620035,HOH,Particulier,BOUVANTE,OUI,10/06/2020,Canis lupus,Italo-alpine,XX,S57-69,1
1973,"26 20/01/2020 F F2620036 HOH Particulier BOUVANTE OUI 10/06/2020 Canis lupus Italo-alpine XY NA 0,35",26,20/01/2020,F,F2620036,HOH,Particulier,BOUVANTE,OUI,10/06/2020,Canis lupus,Italo-alpine,XY,NA,"0,35"
1974,26 21/01/2020 F F2620004 BERNARD OFB LA MOTTE CHALANCON NON Na VSARLE,26,21/01/2020,F,F2620004,BERNARD,OFB,LA MOTTE CHALANCON,NON,,Na VSARLE,,,,
1975,"26 21/01/2020 F F2620005 BERNARD OFB LA MOTTE CHALANCON OUI 26/10/2020 Canis lupus Italo-alpine XX S71-046 0,92",26,21/01/2020,F,F2620005,BERNARD,OFB,LA MOTTE CHALANCON,OUI,26/10/2020,Canis lupus,Italo-alpine,XX,S71-046,"0,92"
1976,"26 21/01/2020 F F2620006 BERNARD OFB CHALANCON OUI 26/10/2020 Canis lupus NA XY S71-047 0,95",26,21/01/2020,F,F2620006,BERNARD,OFB,CHALANCON,OUI,26/10/2020,Canis lupus,NA,XY,S71-047,"0,95"
