,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1192,"06 04/03/2019 F F0619074 KRAMMER PNM ROUBION OUI 17/10/2019 Canis lupus Italo-alpine XY S66-11 1,00",6,04/03/2019,F,F0619074,KRAMMER,PNM,ROUBION,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-11,1
1193,"06 04/03/2019 F F0619091 MILLISCHER Particulier ST MARTIN VESUBIE OUI 17/02/2020 Canis lupus Italo-alpine XY S68-02 0,96",6,04/03/2019,F,F0619091,MILLISCHER,Particulier,ST MARTIN VESUBIE,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-02,"0,96"
1194,"06 04/03/2019 F F0619129 MARTIN-DHERMONT PNM GUILLAUMES OUI 17/10/2019 Canis lupus Italo-alpine XY S66-12 1,00",6,04/03/2019,F,F0619129,MARTIN-DHERMONT,PNM,GUILLAUMES,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-12,1
1195,"06 04/03/2019 F F0619127 CHAPELUT PNM MOULINET OUI 17/10/2019 Canis lupus Italo-alpine XX S57-14 0,92",6,04/03/2019,F,F0619127,CHAPELUT,PNM,MOULINET,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S57-14,"0,92"
1196,"06 04/03/2019 F F0619091 MILLISCHER PNM ST MARTIN VESUBIE OUI 17/02/2020 Canis lupus Italo-alpine XY S68-02 0,96",6,04/03/2019,F,F0619091,MILLISCHER,PNM,ST MARTIN VESUBIE,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-02,"0,96"
1197,"06 04/03/2019 F F0619075 KRAMMER PNM ROUBION OUI 17/10/2019 Canis lupus Italo-alpine XY S66-11 0,99",6,04/03/2019,F,F0619075,KRAMMER,PNM,ROUBION,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-11,"0,99"
1198,"06 04/03/2019 F F0619076 HONORE PNM ST DALMAS LE SELVAGE OUI 17/10/2019 Canis lupus Italo-alpine XX S57-44 0,87",6,04/03/2019,F,F0619076,HONORE,PNM,ST DALMAS LE SELVAGE,OUI,17/10/2019,Canis lupus,Italo-alpine,XX,S57-44,"0,87"
1199,"06 05/03/2019 F F0619077 KRAMMER PNM ISOLA OUI 17/10/2019 Canis lupus Italo-alpine XY S66-11 0,88",6,05/03/2019,F,F0619077,KRAMMER,PNM,ISOLA,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-11,"0,88"
1200,"06 05/03/2019 F F0619130 MALTHIEUX PNM TENDE OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,00",6,05/03/2019,F,F0619130,MALTHIEUX,PNM,TENDE,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,0
1201,"06 06/03/2019 F F0619132 MALTHIEUX PNM LA BRIGUE OUI 14/11/2019 Canis lupus Italo-alpine XY S67-07 0,52",6,06/03/2019,F,F0619132,MALTHIEUX,PNM,LA BRIGUE,OUI,14/11/2019,Canis lupus,Italo-alpine,XY,S67-07,"0,52"
1202,"06 06/03/2019 F F0619134 BELLEVRAT OFB BELVEDERE OUI 10/06/2020 Canis lupus Italo-alpine XY S69-58 0,78",6,06/03/2019,F,F0619134,BELLEVRAT,OFB,BELVEDERE,OUI,10/06/2020,Canis lupus,Italo-alpine,XY,S69-58,"0,78"
1203,06 06/03/2019 F F0619133 MALTHIEUX PNM LA BRIGUE OUI 17/10/2019 Vulpes vulpes,6,06/03/2019,F,F0619133,MALTHIEUX,PNM,LA BRIGUE,OUI,17/10/2019,Vulpes vulpes,,,,
